,PM,Profuidad,Zona fótica,pH,Temperatura ,OD,OD%,Conductividad,Redox,Fósforo Total,Nitratos,N. amonical ,Mang,Color,Turbiedad,N total,TOC,"UV 
(cm1)",SUVA,Clorofila,Feopigmentos,Algas,Cianobacterias totales,F N,CL N,NO2 N,NO3 N,SO4 N,NH4+ N,K N,NT N,NT Orgánico N
422,Torre Profua,2.53,6.84,6.4,18.2,6.7,93.3,57.4,222.8,40.0,243.115,72.093,0.014,12.0,23,0.483,1.5596,0.08,5.2,1.94,12.11,76,333,0.024,3.137,0.039,1.077,2.597,0.093,0.812,0.483,0.156
423,Presa,4.33,11.71,6.2,18.6,3.9,55.36,52.7,118.6,10.0,202.709,62.791,0.039,7.0,8,0.48,1.6815,0.08,4.7,6.36,12.2,399,333,0.027,3.198,0.034,0.898,2.445,0.081,0.921,0.48,0.204
424,Potreros,2.36,6.38,6.4,19.63,7.5,106.47,45.6,241.5,10.0,182.167,47.287,0.01,9.0,4,0.352,1.5153,0.068,4.5,5.84,13.15,733,500,0.024,2.627,0.034,0.807,2.076,0.061,0.629,0.352,0.112
425,PalmasEsp.Santo,2.45,6.63,6.8,20.17,7.6,109.43,51.1,242.5,40.0,176.975,49.612,0.008,12.0,3,0.404,1.4077,0.064,4.5,4.69,10.43,433,600,0.024,3.024,0.035,0.784,2.286,0.064,0.66,0.404,0.166
426,Descarga Bombeo,2.67,7.22,6.5,19.85,7.4,105.15,50.0,252.0,10.0,154.176,88.372,0.01,13.0,2,0.344,1.428,0.058,4.1,9.48,0.0,366,733,0.042,3.24,0.038,0.683,2.518,0.114,0.659,0.344,0.089
427,Torre Superficial,3.32,8.98,6.6,20.8,7.5,108.2,46.3,158.1,10.0,141.535,46.512,0.01,9.0,1,0.347,1.7421,0.071,4.1,4.33,8.29,195,333,0.004,2.686,0.029,0.627,1.883,0.06,0.651,0.347,0.15
428,Torre Media,3.32,8.98,6.4,19.8,7.3,102.7,52.5,164.6,40.0,202.483,49.612,0.013,16.0,30,0.46,2.0662,0.092,4.5,3.74,27.06,184,333,0.005,3.059,0.036,0.897,2.293,0.064,0.842,0.46,0.196
429,Torre Profua,3.32,8.98,6.1,18.5,4.6,63.7,55.0,182.7,90.0,179.458,131.008,0.097,11.0,40,0.511,2.2786,0.119,5.2,1.59,23.3,76,333,0.005,3.034,0.036,0.795,2.35,0.169,0.991,0.511,0.189
430,Presa,5.18,14.01,5.8,19.2,4.8,67.97,49.4,54.3,20.0,127.765,143.411,0.097,12.0,2,0.411,2.0197,0.092,4.5,5.28,7.19,119,333,0.005,2.579,0.029,0.566,1.91,0.185,0.808,0.411,0.131
431,Potreros,3.06,8.28,6.6,20.57,7.3,104.27,44.5,208.9,10.0,167.946,44.186,0.012,14.0,3,0.348,1.7951,0.071,3.9,4.59,9.72,143,333,0.004,2.359,0.029,0.744,1.665,0.057,0.632,0.348,0.126
432,PalmasEsp.Santo,2.42,6.55,6.7,20.97,7.6,109.47,46.9,195.7,30.0,148.984,48.837,0.01,12.0,1,0.364,1.6426,0.065,4.0,3.35,9.04,138,333,0.003,2.661,0.03,0.66,1.876,0.063,0.663,0.364,0.157
433,Descarga Bombeo,3.3,8.93,6.7,20.77,7.7,110.1,46.6,211.9,50.0,153.725,73.643,0.01,12.0,2,0.375,1.6518,0.063,3.8,0.69,4.65,114,500,0.004,2.594,0.03,0.681,1.871,0.095,0.69,0.375,0.138
434,Torre Superficial,3.83,10.36,7.1,21.8,7.7,112.7,48.0,155.8,10.0,336.795,30.233,0.01,9.0,2,0.344,1.7274,0.057,3.3,5.75,7.93,619,333,0.036,4.084,0.022,1.492,2.709,0.06,0.657,0.344,0.001
435,Torre Media,3.83,10.36,6.2,19.4,5.2,72.2,57.9,200.8,40.0,148.984,117.829,0.031,14.0,7,0.428,1.5995,0.065,4.1,4.1,6.74,320,333,0.033,3.958,0.031,0.66,2.889,0.152,0.773,0.428,0.152
436,Torre Profua,3.83,10.36,6.3,18.7,2.2,30.2,47.4,229.3,90.0,110.835,179.07,0.137,13.0,5,0.418,1.7442,0.08,4.6,0.61,3.19,76,333,0.039,2.9,0.028,0.491,2.226,0.231,0.83,0.418,0.119
437,Presa,3.45,9.33,6.7,19.9,5.5,79.08,49.2,16.0,20.0,106.546,157.364,0.122,15.0,2,0.402,1.9688,0.091,4.6,25.33,21.04,144,333,0.0,2.878,0.03,0.472,2.233,0.203,0.758,0.402,0.128
438,Potreros,3.54,9.58,6.9,22.0,7.0,102.7,48.0,180.0,10.0,101.58,103.876,0.011,8.0,3,0.307,1.7463,0.065,3.7,5.73,13.16,346,333,0.036,2.901,0.027,0.45,2.198,0.134,0.622,0.307,0.093
439,PalmasEsp.Santo,2.16,5.84,7.1,22.17,7.6,111.53,51.3,198.1,30.0,127.991,100.775,0.022,12.0,2,0.319,1.7415,0.061,3.5,3.22,6.66,914,333,0.035,3.28,0.027,0.567,2.467,0.13,0.647,0.319,0.082
440,Descarga Bombeo,3.1,8.39,7.7,22.07,8.2,120.2,47.1,171.3,50.0,130.926,99.225,0.01,6.0,1,0.31,1.7335,0.059,3.4,19.23,48.87,114,333,0.034,3.658,0.027,0.58,2.724,0.128,0.658,0.31,0.071
441,Torre Superficial,1.95,5.27,8.3,21.8,9.4,138.7,53.0,87.3,50.0,74.492,106.977,0.01,9.0,9,0.429,2.2645,0.079,3.5,39.79,33.54,742,333,0.025,4.105,0.018,0.33,2.824,0.138,0.661,0.429,0.242
442,Torre Media,1.95,5.27,6.8,19.9,5.3,75.8,65.7,175.6,30.0,133.86,140.31,0.028,10.0,8,0.369,1.7378,0.063,3.6,7.83,10.69,101,333,0.02,5.267,0.027,0.593,3.575,0.181,0.702,0.369,0.086
443,Torre Profua,1.95,5.27,7.1,19.7,3.4,50.7,50.0,166.0,20.0,64.56,179.845,0.071,9.0,6,0.334,1.6412,0.06,3.7,0.65,5.29,40,333,0.017,3.354,0.022,0.286,2.284,0.232,0.713,0.334,0.082
444,Presa,2.5,6.76,7.2,20.0,5.7,83.18,52.3,64.5,30.0,44.018,250.388,0.191,15.0,3,0.388,1.9308,0.089,4.6,29.18,24.98,173,333,0.024,3.058,0.021,0.195,2.076,0.323,0.773,0.388,0.086
445,Potreros,2.9,7.84,7.9,21.7,8.0,116.67,53.7,152.9,40.0,83.07,132.558,0.014,11.0,2,0.301,1.973,0.064,3.3,8.15,12.3,68,333,0.019,4.096,0.018,0.368,2.782,0.171,0.659,0.301,0.079
446,PalmasEsp.Santo,2.8,7.57,8.1,22.0,7.8,115.57,54.9,125.7,20.0,90.293,124.031,0.01,7.0,3,0.31,1.7685,0.058,3.3,4.33,12.98,48,333,0.018,4.279,0.018,0.4,2.938,0.16,0.643,0.31,0.09
447,Descarga Bombeo,2.6,7.03,8.8,21.57,9.7,142.47,52.6,133.8,20.0,57.336,111.628,0.01,9.0,3,0.257,1.9484,0.061,3.2,22.1,26.89,93,333,0.019,3.716,0.018,0.254,2.606,0.144,0.633,0.257,0.082
448,Torre Superficial,2.57,6.95,8.0,21.1,8.7,127.3,48.1,1.0,20.0,104.966,13.953,0.01,10.0,3,0.4,2.2169,0.114,5.1,23.05,24.28,165,333,0.04,3.244,0.032,0.465,2.549,0.018,0.566,0.4,0.271
449,Torre Media,2.57,6.95,7.0,18.87,5.1,70.97,48.0,88.5,30.0,151.693,39.535,0.012,13.0,11,0.421,2.0389,0.096,4.7,12.43,15.56,50,333,0.041,3.64,0.033,0.672,2.957,0.051,0.604,0.421,0.22
450,Torre Profua,2.57,6.95,7.6,18.65,5.9,82.25,62.6,43.2,30.0,185.779,46.512,0.036,15.0,16,0.542,1.9551,0.087,4.4,5.96,17.48,55,333,0.039,4.264,0.039,0.823,3.525,0.06,0.665,0.542,0.297
451,Presa,2.86,7.74,6.7,19.5,5.6,80.7,47.4,35.1,30.0,71.558,140.31,0.155,26.0,4,0.458,2.1166,0.115,5.4,29.39,23.75,392,333,0.04,2.759,0.029,0.317,1.954,0.181,0.565,0.458,0.236
452,Potreros,2.17,5.87,7.6,21.17,7.3,107.87,47.9,32.1,30.0,100.0,30.233,0.01,16.0,5,0.368,1.9595,0.073,3.7,15.61,16.43,132,333,0.035,3.164,0.033,0.443,2.472,0.06,0.537,0.368,0.258
453,PalmasEsp.Santo,1.95,5.27,8.3,21.67,8.5,125.13,49.9,200.0,20.0,105.418,12.403,0.01,12.0,4,0.381,1.9445,0.068,3.5,9.48,0.0,58,333,0.041,3.376,0.031,0.467,2.587,0.016,0.579,0.381,0.253
454,Descarga Bombeo,1.86,5.03,8.5,22.3,9.2,136.27,47.7,53.4,20.0,105.418,12.403,0.01,12.0,4,0.381,1.9445,0.068,3.5,32.3,28.84,78,333,0.037,2.995,0.031,0.322,2.281,0.011,0.544,0.342,0.251
455,Torre Superficial,1.93,5.22,6.3,20.18,6.5,93.28,43.1,129.8,20.0,100.451,49.612,0.01,5.0,7,0.407,1.9595,0.064,3.2,18.96,21.09,78,333,0.037,2.785,0.035,0.445,2.121,0.064,0.614,0.407,0.247
456,Torre Media,1.93,5.22,6.4,18.85,6.5,91.0,48.7,152.6,160.0,211.061,71.318,0.03,15.0,65,0.604,2.702,0.123,4.6,11.04,33.23,52,333,0.037,3.193,0.035,0.935,2.72,0.092,0.878,0.604,0.311
457,Torre Profua,1.93,5.22,6.5,18.4,6.5,91.23,52.6,156.9,120.0,225.056,74.419,0.033,13.0,90,0.664,3.0697,0.142,4.6,5.96,25.92,27,333,0.036,3.272,0.034,0.997,2.822,0.096,0.962,0.664,0.354
458,Presa,3.22,8.71,6.2,19.19,3.9,54.75,48.4,3.6,30.0,82.844,167.442,0.164,11.0,8,0.552,2.208,0.112,5.1,9.48,0.0,192,333,0.036,2.698,0.034,0.488,2.149,0.086,0.568,0.438,0.25
459,Potreros,2.13,5.76,6.5,20.9,6.5,94.67,43.5,225.3,30.0,110.158,66.667,0.015,13.0,20,0.438,2.2369,0.09,4.0,9.03,5.03,97,333,0.036,2.698,0.034,0.488,2.149,0.086,0.568,0.438,0.25
460,PalmasEsp.Santo,1.53,4.14,6.8,20.47,7.1,103.43,44.3,235.2,30.0,116.704,45.736,0.01,6.0,11,0.446,2.079,0.079,3.8,3.15,12.64,58,333,0.037,2.85,0.036,0.517,2.213,0.059,0.598,0.446,0.273
461,Descarga Bombeo,3.3,8.93,6.5,20.8,6.2,90.3,41.6,168.4,20.0,102.032,62.016,0.01,7.0,2,0.394,1.9874,0.069,3.5,1.83,7.43,63,333,0.036,2.586,0.034,0.452,2.028,0.08,0.554,0.394,0.219
462,Torre Superficial,3.9,10.55,6.9,20.2,7.9,113.25,43.6,201.6,20.0,119.187,93.798,0.01,13.0,1,0.362,1.9251,0.07,3.7,9.48,0.0,145,333,0.038,2.633,0.032,0.528,2.034,0.121,0.95,0.362,0.139
463,Torre Media,3.9,10.55,6.6,18.2,6.6,90.4,55.6,243.3,30.0,110.609,106.977,0.014,15.0,6,1.019,1.9811,0.068,3.4,9.48,0.0,38,333,0.039,2.492,0.033,0.49,1.882,0.138,0.962,1.019,0.791
464,Torre Profua,3.9,10.55,6.8,18.03,6.4,88.73,58.2,271.1,20.0,28.668,72.093,0.015,15.0,13,0.742,3.5444,0.126,3.5,9.48,0.0,38,333,0.042,3.148,0.026,0.127,1.002,0.093,2.194,0.742,0.633
465,Presa,3.06,8.28,6.7,18.88,5.2,73.04,44.7,177.5,40.0,38.826,486.822,0.012,10.0,4,0.826,5.0358,0.228,4.5,9.48,0.0,327,333,0.042,3.628,0.032,0.172,1.231,0.06,3.303,0.826,0.289
466,Potreros,2.88,7.79,7.0,19.73,7.0,100.0,41.7,211.4,20.0,72.46,446.512,0.01,14.0,3,0.349,5.0434,0.241,4.8,9.48,0.0,215,333,0.042,3.368,0.029,0.321,1.184,0.576,3.089,0.349,0.18
467,PalmasEsp.Santo,2.95,7.98,7.2,20.47,8.0,114.17,45.5,191.7,20.0,90.068,84.496,0.01,16.0,7,0.662,4.8937,0.218,4.4,9.48,0.0,38,333,0.044,3.429,0.031,0.399,1.147,0.109,2.434,0.662,0.478
468,Descarga Bombeo,3.2,8.66,7.4,20.83,8.1,118.27,41.5,182.9,10.0,40.181,82.946,0.01,19.0,3,0.577,4.0591,0.161,4.0,9.48,0.0,130,333,0.043,3.454,0.027,0.178,1.1,0.107,2.34,0.577,0.446
469,Torre Superficial,3.61,9.77,7.8,20.98,8.5,122.33,47.4,200.7,20.0,157.562,37.209,0.01,12.0,3,0.41,2.2282,0.072,3.2,13.62,2.55,145,333,0.031,3.157,0.036,0.698,2.537,0.048,0.873,0.41,0.205
470,Torre Media,3.61,9.77,7.0,18.47,6.0,82.67,62.2,283.3,20.0,210.835,114.729,0.01,14.0,7,0.468,1.7881,0.07,3.9,5.92,2.37,70,333,0.028,4.443,0.04,0.934,3.449,0.148,0.939,0.468,0.13
471,Torre Profua,3.61,9.77,7.6,18.03,5.7,77.87,65.1,250.0,30.0,236.117,110.853,0.01,16.0,10,0.542,1.7775,0.076,4.3,1.78,0.71,27,333,0.031,4.811,0.042,1.046,3.845,0.143,0.991,0.542,0.182
472,Presa,3.27,8.85,7.1,19.05,5.4,76.1,46.7,153.9,20.0,173.815,149.612,0.075,15.0,4,0.458,1.915,0.072,3.8,8.29,1.66,272,333,0.032,3.163,0.042,0.77,2.442,0.193,1.13,0.458,0.121
473,Potreros,4.08,11.04,7.8,20.87,7.6,110.73,47.6,238.5,20.0,146.953,54.264,0.01,13.0,3,0.36,1.8458,0.063,3.4,9.48,0.0,165,333,0.029,3.042,0.037,0.651,2.466,0.07,0.884,0.36,0.148
474,PalmasEsp.Santo,3.15,8.52,8.1,21.33,8.1,117.53,47.3,204.6,50.0,139.729,65.891,0.015,11.0,5,0.346,1.8538,0.066,3.6,5.92,0.3,93,333,0.031,3.142,0.036,0.619,2.529,0.085,0.865,0.346,0.129
475,Descarga Bombeo,3.52,9.52,8.6,21.43,8.7,127.3,45.3,216.2,20.0,134.312,65.891,0.018,10.0,3,0.336,1.8606,0.064,3.4,3.55,0.59,40,333,0.032,2.925,0.037,0.595,2.366,0.085,0.873,0.336,0.124
476,Torre Superficial,3.16,8.55,7.5,19.67,8.6,120.77,46.9,111.8,90.0,153.499,18.059,0.01,13.0,12,0.0,1.8463,0.061,3.3,10.07,3.2,158,333,0.038,3.117,0.037,0.68,2.2,0.08,0.889,0.38340524193548386,0.22347852760736195
477,Torre Media,3.16,8.55,7.1,18.07,7.2,98.1,51.7,154.4,80.0,203.16,22.573,0.035,20.0,63,112.808,2.3764,0.09,3.8,2.37,1.36,48,333,0.036,3.378,0.046,0.9,2.732,0.1,1.155,0.5,0.205
478,Torre Profua,3.16,8.55,7.2,17.43,7.6,103.23,48.6,142.3,90.0,228.668,17.381,0.025,19.0,125,121.856,2.7701,0.111,4.0,1.18,0.89,18,333,0.036,3.078,0.041,1.013,2.621,0.077,1.203,0.54,0.239
479,Presa,3.06,8.28,6.8,18.38,5.0,68.96,47.0,188.6,20.0,167.72,143.411,0.029,6.0,3,0.465,1.8099,0.077,4.3,22.63,6.31,195,333,0.037,2.705,0.03,0.743,1.874,0.185,0.944,0.465,0.145
480,Potreros,2.46,6.65,7.3,19.47,8.0,111.93,44.8,117.7,20.0,143.115,65.891,0.019,8.0,5,0.33,1.7586,0.074,4.2,9.48,0.0,150,333,0.037,2.872,0.036,0.634,1.924,0.085,0.798,0.33,0.11
481,PalmasEsp.Santo,1.42,3.84,7.0,18.97,8.2,112.87,47.5,124.5,70.0,159.368,58.915,0.012,14.0,32,0.419,2.1628,0.101,4.7,3.55,1.42,25,333,0.036,3.013,0.037,0.706,2.235,0.076,0.876,0.419,0.189
482,Descarga Bombeo,4.24,11.47,7.5,19.57,8.3,116.83,44.4,100.9,20.0,130.248,75.969,0.01,9.0,2,0.326,1.9079,0.071,3.7,10.66,2.19,155,333,0.039,2.919,0.038,0.577,2.021,0.098,0.859,0.326,0.108
483,Torre Superficial,4.0,10.82,7.2,20.6,8.1,116.33,49.0,205.1,10.0,131.828,102.326,0.006,6.0,2,0.0,1.6652,0.061,3.7,2.37,1.36,38,333,0.026,3.739,0.03,0.584,2.52,0.132,0.758,0.364,0.12
484,Torre Media,4.0,10.82,6.5,18.65,4.7,66.05,60.2,238.0,20.0,192.551,111.628,0.034,3.0,7,0.0,1.5995,0.065,4.0,10.07,2.78,95,333,0.029,5.119,0.03,0.853,3.481,0.144,0.877,0.426,0.112
485,Torre Profua,4.0,10.82,6.7,17.8,1.5,19.95,45.8,249.3,20.0,152.596,203.101,0.019,2.0,7,0.0,1.5446,0.058,3.7,1.18,0.89,13,333,0.031,2.878,0.021,0.676,2.022,0.262,0.859,0.444,0.081
486,Presa,2.66,7.2,6.8,18.98,5.9,82.06,45.1,201.8,30.0,143.341,211.628,0.007,2.0,4,0.0,1.7215,0.059,3.4,49.16,15.93,395,333,0.028,2.942,0.021,0.635,2.038,0.273,0.791,0.467,0.105
487,Potreros,3.39,9.17,7.0,21.23,7.5,108.2,48.5,131.06841046277668,10.0,129.797,90.698,0.006,2.0,2,0.0,2.4395,0.072,2.9,2.96,2.43,55,333,0.031,3.691,0.03,0.575,2.533,0.117,0.75,0.338,0.108
488,PalmasEsp.Santo,3.22,8.71,7.0,21.17,7.2,104.9,51.9,278.6,10.0,129.797,98.45,0.018,2.0,4,0.0,1.6842,0.062,3.7,1.18,1.72,30,333,0.056,4.142,0.03,0.575,2.736,0.127,0.764,0.367,0.13
489,Descarga Bombeo,2.3,6.22,8.1,21.33,9.5,138.13,38.1,230.2,20.0,109.481,93.023,0.007,2.0,1,0.0,1.761,0.06,3.4,2.37,0.53,25,333,0.027,3.387,0.031,0.485,2.301,0.12,0.763,0.331,0.118
490,Torre Superficial,3.0,8.12,6.8,20.45,7.9,113.68,53.5,138.2,20.0,200.451,86.047,0.01,13.0,2,0.469,1.8663,0.059,3.1,12.44,0.0,5384,3222,0.033,4.19,0.056,0.888,3.547,0.111,1.028,0.469,0.165
491,Torre Media,3.0,8.12,6.5,18.75,6.3,87.5,55.3,184.6,30.0,232.731,79.845,0.019,19.0,4,0.646,1.998,0.076,3.8,23.69,0.06,533,333,0.024,5.115,0.037,1.031,3.77,0.103,0.995,0.646,0.322
492,Torre Profua,3.0,8.12,6.6,18.57,5.3,73.57,57.8,197.0,40.0,245.147,173.643,0.035,13.0,6,0.665,1.7674,0.063,3.6,9.48,0.77,59,333,0.027,5.11,0.049,1.086,3.799,0.224,1.048,0.665,0.23
493,Presa,3.45,9.33,6.6,19.04,6.0,84.04,44.6,90.4,40.0,162.98,193.023,0.066,18.0,3,0.642,3.6832,0.097,2.6,14.22,0.95,43,2000,0.026,2.93,0.036,0.722,2.15,0.249,0.941,0.642,0.274
494,Potreros,3.55,9.6,7.0,20.27,7.9,112.97,47.1,116.8,80.0,219.413,148.837,0.01,12.0,3,0.678,2.0793,0.073,3.5,13.03,1.01,53,333,0.023,3.07,0.06,0.972,2.365,0.192,1.029,0.678,0.291
495,PalmasEsp.Santo,3.8,10.28,7.0,20.67,7.8,113.57,52.5,117.8,10.0,184.199,141.86,0.01,10.0,2,0.593,1.7529,0.056,3.2,18.95,0.12,5730,4000,0.025,3.582,0.035,0.816,2.599,0.183,0.902,0.593,0.256
496,Descarga Bombeo,3.08,8.33,7.1,19.87,7.9,113.27,43.6,112.2,10.0,208.352,102.326,0.01,7.0,3,0.543,1.9044,0.053,2.8,8.29,1.66,40,3333,0.026,4.341,0.035,0.923,3.207,0.132,0.92,0.543,0.222
497,Torre Superficial,0.73,1.97,6.8,19.6,7.6,106.23,42.8,149.5,70.0,39.955,7.752,0.014,19.0,10,0.287,2.7151,0.091,3.3,21.92,65.99,26,55120,0.022,2.711,0.029,0.177,2.253,0.01,1.031,0.287,0.23
498,Torre Media,0.73,1.97,6.4,17.83,5.3,71.63,47.7,176.8,20.0,84.199,82.946,0.014,17.0,10,0.425,2.3777,0.092,3.9,14.22,2.78,26,11147,0.017,3.074,0.031,0.373,2.549,0.107,1.14,0.425,0.248
499,Torre Profua,0.73,1.97,6.6,17.7,6.5,88.2,57.6,166.3,30.0,83.296,71.318,0.014,17.0,13,0.411,2.2342,0.084,3.8,1.78,9.83,10,10107,0.017,3.88,0.035,0.369,3.148,0.092,1.041,0.411,0.246
500,Presa,0.7,1.89,6.2,18.3,4.9,67.68,46.6,89.0,450.0,49.661,139.535,0.05,18.0,14,0.401,2.46,0.083,3.4,17.18,9.77,33,39700,0.019,2.933,0.035,0.22,2.23,0.18,1.155,0.401,0.201
501,Potreros,0.57,1.54,7.4,19.33,7.5,105.43,42.4,132.9,40.0,45.598,42.636,0.014,17.0,14,0.304,2.5615,0.089,3.5,7.7,10.54,33,52400,0.016,2.671,0.031,0.202,2.175,0.055,1.063,0.304,0.206
502,PalmasEsp.Santo,0.84,2.27,7.1,19.3,8.0,112.1,46.2,146.8,170.0,49.21,30.233,0.014,19.0,20,0.296,2.5007,0.083,3.3,13.62,2.55,33,5400,0.019,2.997,0.031,0.218,2.386,0.039,1.013,0.296,0.207
503,Descarga Bombeo,1.12,3.03,7.3,18.07,7.9,108.6,41.2,146.0,20.0,53.499,51.163,0.014,15.0,8,0.286,2.4304,0.084,3.5,31.39,2.61,33,76400,0.019,2.632,0.033,0.237,2.019,0.066,1.132,0.286,0.171
504,Torre Superficial,2.06,5.57,6.7,19.43,7.8,108.47,46.8,132.3,20.0,224.153,30.233,0.01,12.0,2,0.306,1.9252,0.079,4.1,2.37,24.17,3477,333,0.031,2.566,0.037,0.993,1.915,0.06,0.888,0.306,0.071
505,Torre Media,2.06,5.57,6.5,17.97,6.1,81.5,57.1,157.0,20.0,289.391,68.217,0.014,17.0,14,0.424,2.3536,0.09,3.8,2.96,18.6,1844,33,0.03,3.094,0.039,1.282,2.698,0.088,1.015,0.424,0.054
506,Torre Profua,2.06,5.57,6.8,17.6,7.1,95.77,57.1,155.2,80.0,294.582,93.798,0.071,12.0,47,0.442,2.4805,0.118,4.8,1.18,12.08,1589,333,0.026,2.803,0.047,1.305,2.164,0.121,1.016,0.442,0.039
507,Presa,2.15,5.82,6.4,18.09,4.4,60.48,52.5,202.3,10.0,207.223,81.395,0.024,14.0,4,0.447,2.422,0.095,3.9,2.37,10.9,1734,333,0.03,2.985,0.04,0.918,2.404,0.105,1.086,0.447,0.146
508,Potreros,1.92,5.19,6.4,19.23,5.9,82.43,47.0,129.1,50.0,208.578,60.465,0.016,12.0,4,0.299,2.5676,0.098,3.8,27.25,32.87,2800,333,0.03,2.46,0.035,0.924,1.806,0.078,0.872,0.299,0.019
509,PalmasEsp.Santo,1.82,4.92,6.9,19.17,8.0,111.07,49.2,115.4,100.0,234.989,67.442,0.011,19.0,25,0.363,2.6138,0.101,3.9,5.92,15.64,2933,333,0.026,2.567,0.035,1.041,1.975,0.087,0.967,0.363,0.05
510,Descarga Bombeo,2.4,6.49,6.5,19.43,6.3,88.7,46.8,123.5,10.0,264.334,62.791,0.01,10.0,3,0.372,2.2008,0.082,3.7,3.55,5.15,400,333,0.031,2.533,0.039,1.171,1.97,0.081,0.948,0.372,0.033
511,Torre Superficial,2.36,6.38,8.1,21.27,8.2,119.03,41.4,104.7,30.0,197.065,20.93,0.015,15.0,3,0.27,2.0373,0.084,4.1,4.15,5.39,210,333,0.041,2.574,0.03,0.873,2.356,0.027,0.603,0.27,0.043
512,Torre Media,2.36,6.38,7.3,18.4,6.7,91.73,48.0,144.0,80.0,211.287,31.783,0.019,18.0,12,0.319,1.8623,0.093,5.0,1.78,17.71,217,722,0.025,2.931,0.036,0.936,2.462,0.041,0.772,0.319,0.065
513,Torre Profua,2.36,6.38,7.3,17.67,5.1,70.1,52.7,156.1,70.0,264.334,35.659,0.022,26.0,20,0.367,1.8421,0.103,5.6,1.18,0.89,71,333,0.027,3.354,0.039,1.171,2.764,0.046,0.839,0.367,0.055
514,Presa,2.1,5.68,7.8,18.78,5.6,78.46,44.6,178.7,70.0,260.045,32.558,0.01,21.0,11,0.331,1.9923,0.102,5.1,20.14,4.74,191,333,0.028,2.616,0.026,1.152,2.242,0.042,0.86,0.331,0.031
515,Potreros,2.28,6.17,7.6,21.37,7.5,109.53,39.2,115.2,40.0,141.309,25.581,0.01,18.0,4,0.207,1.8799,0.089,4.7,6.52,4.68,672,333,0.023,2.211,0.027,0.626,1.82,0.033,0.667,0.207,0.032
516,PalmasEsp.Santo,1.98,5.36,7.7,20.33,7.6,108.0,47.5,124.0,50.0,174.718,31.008,0.01,16.0,7,0.225,1.6919,0.081,4.8,1.18,3.79,105,333,0.027,2.817,0.032,0.774,2.259,0.04,0.741,0.225,0.009
517,Descarga Bombeo,2.85,7.71,8.3,21.27,8.3,120.7,43.3,97.8,30.0,154.853,33.333,0.01,18.0,3,0.228,1.6804,0.081,4.8,2.96,2.01,115,4700,0.027,2.537,0.029,0.686,2.043,0.043,0.713,0.228,0.031
518,Torre Superficial,3.8,10.28,7.2,21.05,7.7,112.53,51.1,81.5,10.0,87.359,30.233,0.01,2.0,1,0.215,1.9394,0.058,3.0,1.78,5.51,161,500,0.007,3.223,0.029,0.387,1.961,0.06,0.788,0.215,0.118
519,Torre Media,3.8,10.28,6.5,19.32,6.5,92.57,55.8,116.4,0.0,112.867,30.233,0.01,2.0,2,0.239,1.5518,0.048,3.1,0.59,3.91,655,2711,0.011,3.59,0.032,0.5,2.25,0.06,0.76,0.239,0.117
520,Torre Profua,3.8,10.28,6.0,18.8,4.7,65.3,63.8,128.5,20.0,138.149,41.085,0.021,2.0,4,0.319,1.4502,0.052,3.6,2.37,1.95,138,333,0.012,4.512,0.034,0.612,2.94,0.053,0.826,0.319,0.129
521,Presa,4.3,11.63,6.7,19.6,5.5,79.0,44.6,99.1,60.0,96.614,44.186,0.049,2.0,3,0.266,1.7913,0.058,3.3,2.96,6.57,758,333,0.008,2.893,0.038,0.428,1.888,0.057,0.855,0.266,0.114
522,Potreros,3.3,8.93,6.7,20.95,7.4,110.04,51.6,87.7,10.0,82.844,48.837,0.013,2.0,2,0.195,1.5601,0.049,3.1,9.48,4.56,238,333,0.011,3.23,0.031,0.367,2.017,0.063,0.726,0.195,0.053
523,PalmasEsp.Santo,2.9,7.84,6.9,21.58,7.4,108.9,53.9,90.3,50.0,88.713,13.953,0.01,4.0,3,0.215,1.5887,0.049,3.1,1.78,2.19,371,333,0.012,3.452,0.03,0.393,2.154,0.018,0.805,0.215,0.103
524,Descarga Bombeo,4.4,11.9,7.8,20.92,8.2,118.04,50.3,86.8,30.0,92.551,44.961,0.01,4.0,1,0.236,1.5951,0.048,3.0,1.18,0.06,48,333,0.009,3.174,0.032,0.41,1.933,0.058,0.743,0.236,0.088
525,Torre Superficial,1.9,5.14,8.8,20.63,8.1,116.17,42.2,55.0,10.0,62.302,56.589,0.004,11.0,2,0.388,2.2235,0.06,2.7,5.92,1.54,120,500,0.032,3.226,0.032,0.276,2.411,0.073,0.745,0.388,0.259
526,Torre Media,1.9,5.14,7.2,19.53,6.9,96.77,49.1,109.6,60.0,107.675,36.434,0.005,9.0,33,0.466,1.8221,0.088,4.8,5.33,3.38,177,333,0.023,3.966,0.035,0.477,2.911,0.047,0.832,0.466,0.311
527,Torre Profua,1.9,5.14,7.2,18.93,6.2,85.9,47.5,113.1,80.0,123.025,93.798,0.006,17.0,50,0.538,2.026,0.093,4.6,4.15,1.24,88,333,0.037,3.877,0.032,0.545,2.735,0.121,0.942,0.538,0.311
528,Presa,2.1,5.68,7.6,19.12,6.0,84.78,42.6,22.5,20.0,73.363,115.504,0.091,5.0,4,0.466,1.7273,0.085,4.9,12.44,1.24,758,333,0.021,2.864,0.031,0.325,1.919,0.149,0.764,0.466,0.268
